experiment_accession,experiment_alias,title,study_accession,design_description,sample_accession,library_strategy,library_layout,instrument_model,run_accession,total_spots,total_bases
SRX9078367,GSM4769349,GSM4769349: Sorghum leaves-drought small RNA library; Sorghum bicolor; ncRNA-Seq,SRP280149,,SRS7325347,ncRNA-Seq,SINGLE,Illumina HiSeq 2000,SRR12594333,136004884,6936249084
SRX9078366,GSM4769348,GSM4769348: Sorghum leaves-control small RNA library; Sorghum bicolor; ncRNA-Seq,SRP280149,,SRS7325346,ncRNA-Seq,SINGLE,Illumina HiSeq 2000,SRR12594332,132549406,6760019706
SRX9078303,GSM4769327,GSM4769327: Sorghum leaves-drought degradome; Sorghum bicolor; ncRNA-Seq,SRP280145,,SRS7325307,ncRNA-Seq,SINGLE,Illumina HiSeq 2500,SRR12594249,24146034,1231447734
SRX9078302,GSM4769326,GSM4769326: Sorghum leaves-control degradome; Sorghum bicolor; ncRNA-Seq,SRP280145,,SRS7325306,ncRNA-Seq,SINGLE,Illumina HiSeq 2500,SRR12594248,21615790,1102405290
SRX8832126,GSM4697167,GSM4697167: CSS-T3-R21; Sorghum bicolor; RNA-Seq,SRP273743,,SRS7096311,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR12332068,35736544,7147308800
SRX8832125,GSM4697166,GSM4697166: CSS-T3-R11; Sorghum bicolor; RNA-Seq,SRP273743,,SRS7096310,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR12332067,33491549,6698309800
SRX8832124,GSM4697165,GSM4697165: CSS-T2-R21; Sorghum bicolor; RNA-Seq,SRP273743,,SRS7096309,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR12332066,32014249,6402849800
SRX8832123,GSM4697164,GSM4697164: CSS-T2-R11; Sorghum bicolor; RNA-Seq,SRP273743,,SRS7096308,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR12332065,36414284,7282856800
SRX8832122,GSM4697163,GSM4697163: CSS-T1-R21; Sorghum bicolor; RNA-Seq,SRP273743,,SRS7096307,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR12332064,31706339,6341267800
SRX8832121,GSM4697162,GSM4697162: CSS-T1-R11; Sorghum bicolor; RNA-Seq,SRP273743,,SRS7096305,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR12332063,34984208,5165889183
SRX8599967,SRT,RNA-Seq of sorghum bicolor,SRP268382,samples were proceed with the TruSeq RNA Sample Prep Kits (Illumina) for librarypreparation.,SRS6890422,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR12072405,68482659,13696531800
SRX7077704,Sbicolor_25,Sorghum bicolor 25,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593516,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376271,56176540,5673830540
SRX7077703,Sbicolor_24,Sorghum bicolor 24,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593515,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376272,67321502,6799471702
SRX7077702,Sbicolor_23,Sorghum bicolor 23,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593514,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376273,69758589,7045617489
SRX7077701,Sbicolor_22,Sorghum bicolor 22,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593513,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376274,60634064,6124040464
SRX7077700,Sbicolor_21,Sorghum bicolor 21,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593512,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376275,65669704,6632640104
SRX7077699,Sbicolor_3,Sorghum bicolor 3,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593511,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376276,64496987,6514195687
SRX7077698,Sbicolor_20,Sorghum bicolor 20,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593510,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376277,60165287,6076693987
SRX7077697,Sbicolor_19,Sorghum bicolor 19,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593509,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376278,63245326,6387777926
SRX7077696,Sbicolor_18,Sorghum bicolor 18,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593508,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376279,69959392,7065898592
SRX7077695,Sbicolor_17,Sorghum bicolor 17,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593507,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376280,61687973,6230485273
SRX7077694,Sbicolor_16,Sorghum bicolor 16,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593506,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376281,74737856,7473785600
SRX7077693,Sbicolor_15,Sorghum bicolor 15,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593505,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376282,99921071,9992107100
SRX7077692,Sbicolor_14,Sorghum bicolor 14,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593504,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376283,109847109,10984710900
SRX7077691,Sbicolor_13,Sorghum bicolor 13,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593503,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376284,100647508,10064750800
SRX7077690,Sbicolor_12,Sorghum bicolor 12,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593502,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376285,68159327,6884092027
SRX7077689,Sbicolor_11,Sorghum bicolor 11,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593501,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376286,72494013,7321895313
SRX7077688,Sbicolor_10,Sorghum bicolor 10,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593500,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376287,71505412,7222046612
SRX7077687,Sbicolor_9,Sorghum bicolor 9,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593499,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376288,57833945,5841228445
SRX7077686,Sbicolor_8,Sorghum bicolor 8,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593498,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376289,67563755,6823939255
SRX7077685,Sbicolor_7,Sorghum bicolor 7,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593497,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376290,63301223,6393423523
SRX7077684,Sbicolor_6,Sorghum bicolor 6,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593496,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376291,63032153,6366247453
SRX7077683,Sbicolor_5,Sorghum bicolor 5,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593495,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376292,67295927,6796888627
SRX7077682,Sbicolor_32,Sorghum bicolor 32,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593494,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376293,56255733,5681829033
SRX7077681,Sbicolor_31,Sorghum bicolor 31,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593493,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376294,54688726,5523561326
SRX7077680,Sbicolor_4,Sorghum bicolor 4,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593492,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376295,61128425,6173970925
SRX7077679,Sbicolor_30,Sorghum bicolor 30,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593491,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376296,62174373,6279611673
SRX7077678,Sbicolor_29,Sorghum bicolor 29,SRP227627,"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593490,RNA-Seq,SINGLE,Illumina HiSeq 2000,SRR10376297,60664201,6127084301
