design_description,sample_accession,run_accession,Total Size,Submitter,Center,Contact,Experiment,Study,Organism,Sample,Library Strategy,Library Source,Library Selection,Library Layout,Bioproject,Biosample,Run Accession,Run Spots,Run Bases,Create Date,Update Date
"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066405,SRR18095201,2296149353,SRA1375529,Southwest university,Daixiang Xu,SRX14246205,SRP360883,Sorghum bicolor,SRS12066405,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA809121,SAMN26143434,,,,2022/02/23,2022/02/22
"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066404,SRR18095202,1237324876,SRA1375529,Southwest university,Daixiang Xu,SRX14246204,SRP360883,Sorghum bicolor,SRS12066404,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA809121,SAMN26143433,,,,2022/02/23,2022/02/22
"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066403,SRR18095203,2908287560,SRA1375529,Southwest university,Daixiang Xu,SRX14246203,SRP360883,Sorghum bicolor,SRS12066403,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA809121,SAMN26143432,,,,2022/02/23,2022/02/22
"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066402,SRR18095204,2769099430,SRA1375529,Southwest university,Daixiang Xu,SRX14246202,SRP360883,Sorghum bicolor,SRS12066402,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA809121,SAMN26143430,,,,2022/02/23,2022/02/22
"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066401,SRR18095205,2754119471,SRA1375529,Southwest university,Daixiang Xu,SRX14246201,SRP360883,Sorghum bicolor,SRS12066401,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA809121,SAMN26143431,,,,2022/02/23,2022/02/22
RNA-Seq in stem under severe-drought-stressed treatment,SRS11362371,SRR17287604,773385307,SRA1346773,"Maize Research Institute, Beijing Academy of Agric",Miaoyi Zhou,SRX13465006,SRP351850,Sorghum bicolor,SRS11362371,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA791237,SAMN24271453,,,,2021/12/21,2021/12/21
RNA-Seq in stem under severe-drought-stressed treatment,SRS11362369,SRR17287605,817449839,SRA1346773,"Maize Research Institute, Beijing Academy of Agric",Miaoyi Zhou,SRX13465005,SRP351850,Sorghum bicolor,SRS11362369,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA791237,SAMN24271452,,,,2021/12/21,2021/12/21
RNA-Seq in leaf under severe-drought-stressed treatment,SRS11362370,SRR17287606,900465455,SRA1346773,"Maize Research Institute, Beijing Academy of Agric",Miaoyi Zhou,SRX13465004,SRP351850,Sorghum bicolor,SRS11362370,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA791237,SAMN24271451,,,,2021/12/21,2021/12/21
RNA-Seq in leaf under severe-drought-stressed treatment,SRS11362368,SRR17287607,928202407,SRA1346773,"Maize Research Institute, Beijing Academy of Agric",Miaoyi Zhou,SRX13465003,SRP351850,Sorghum bicolor,SRS11362368,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA791237,SAMN24271450,,,,2021/12/21,2021/12/21
,SRS9294876,SRR14935710,1782901298,SRA1251955,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11248339,SRP325969,Sorghum bicolor,SRS9294876,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA742236,SAMN19945309,,,,2021/07/01,2021/06/29
,SRS9294875,SRR14935709,1605874072,SRA1251955,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11248338,SRP325969,Sorghum bicolor,SRS9294875,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA742236,SAMN19945310,,,,2021/07/01,2021/06/29
,SRS9294874,SRR14935708,1824510660,SRA1251955,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11248337,SRP325969,Sorghum bicolor,SRS9294874,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA742236,SAMN19945311,,,,2021/07/01,2021/06/29
,SRS9294873,SRR14935707,2023549249,SRA1251955,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11248336,SRP325969,Sorghum bicolor,SRS9294873,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA742236,SAMN19945312,,,,2021/07/01,2021/06/29
,SRS9294872,SRR14935706,1847383423,SRA1251955,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11248335,SRP325969,Sorghum bicolor,SRS9294872,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA742236,SAMN19945313,,,,2021/07/01,2021/06/29
,SRS9294871,SRR14935705,1855374416,SRA1251955,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11248334,SRP325969,Sorghum bicolor,SRS9294871,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA742236,SAMN19945314,,,,2021/07/01,2021/06/29
,SRS9294870,SRR14935704,1355581795,SRA1251955,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11248333,SRP325969,Sorghum bicolor,SRS9294870,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA742236,SAMN19945315,,,,2021/07/01,2021/06/29
,SRS9294869,SRR14935703,1883431279,SRA1251955,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11248332,SRP325969,Sorghum bicolor,SRS9294869,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA742236,SAMN19945316,,,,2021/07/01,2021/06/29
,SRS9284836,SRR14925438,2815049073,SRA1251012,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11238352,SRP325794,Sorghum bicolor,SRS9284836,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA741806,SAMN19905459,,,,2024/01/01,2021/06/27
,SRS9284835,SRR14925437,2076900742,SRA1251012,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11238351,SRP325794,Sorghum bicolor,SRS9284835,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA741806,SAMN19905460,,,,2024/01/01,2021/06/27
,SRS9284834,SRR14925436,2887231476,SRA1251012,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11238350,SRP325794,Sorghum bicolor,SRS9284834,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA741806,SAMN19905461,,,,2024/01/01,2021/06/27
,SRS9284833,SRR14925435,3207678536,SRA1251012,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11238349,SRP325794,Sorghum bicolor,SRS9284833,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA741806,SAMN19905462,,,,2024/01/01,2021/06/27
,SRS9284832,SRR14925434,2505291604,SRA1251012,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11238348,SRP325794,Sorghum bicolor,SRS9284832,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA741806,SAMN19905463,,,,2024/01/01,2021/06/27
,SRS9284830,SRR14925433,2662050056,SRA1251012,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11238347,SRP325794,Sorghum bicolor,SRS9284830,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA741806,SAMN19905464,,,,2024/01/01,2021/06/27
,SRS9245918,SRR14872396,2716821330,SRA1248755,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11189847,SRP324901,Sorghum bicolor,SRS9245918,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA739713,SAMN19798608,,,,2024/01/01,2021/06/21
,SRS9245917,SRR14872395,2612828026,SRA1248755,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11189846,SRP324901,Sorghum bicolor,SRS9245917,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA739713,SAMN19798609,,,,2024/01/01,2021/06/21
,SRS9245916,SRR14872394,2491609964,SRA1248755,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11189845,SRP324901,Sorghum bicolor,SRS9245916,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA739713,SAMN19798610,,,,2024/01/01,2021/06/21
,SRS9245915,SRR14872393,3694116772,SRA1248755,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11189844,SRP324901,Sorghum bicolor,SRS9245915,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA739713,SAMN19798597,,,,2024/01/01,2021/06/21
,SRS9245914,SRR14872392,2723491348,SRA1248755,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11189843,SRP324901,Sorghum bicolor,SRS9245914,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA739713,SAMN19798600,,,,2024/01/01,2021/06/21
,SRS9245913,SRR14872391,1350975451,SRA1248755,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX11189842,SRP324901,Sorghum bicolor,SRS9245913,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA739713,SAMN19798601,,,,2024/01/01,2021/06/21
,SRS7325349,SRR12594335,4497817622,SRA1121500,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX9078369,SRP280149,Sorghum bicolor,SRS7325349,ncRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,PRJNA661564,SAMN16063294,,,,2022/01/01,2020/09/04
,SRS7325348,SRR12594334,4616108387,SRA1121500,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX9078368,SRP280149,Sorghum bicolor,SRS7325348,ncRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,PRJNA661564,SAMN16063295,,,,2022/01/01,2020/09/04
,SRS7325347,SRR12594333,4493120896,SRA1121500,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX9078367,SRP280149,Sorghum bicolor,SRS7325347,ncRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,PRJNA661564,SAMN16063296,,,,2022/01/01,2020/09/04
,SRS7325346,SRR12594332,4400971240,SRA1121500,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX9078366,SRP280149,Sorghum bicolor,SRS7325346,ncRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,PRJNA661564,SAMN16063297,,,,2022/01/01,2020/09/04
,SRS7325307,SRR12594249,606226137,SRA1121497,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX9078303,SRP280145,Sorghum bicolor,SRS7325307,ncRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,PRJNA661562,SAMN16063246,,,,2022/01/01,2020/09/04
,SRS7325306,SRR12594248,555606662,SRA1121497,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX9078302,SRP280145,Sorghum bicolor,SRS7325306,ncRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,PRJNA661562,SAMN16063235,,,,2022/01/01,2020/09/04
,SRS7096311,SRR12332068,2590878250,SRA1104104,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX8832126,SRP273743,Sorghum bicolor,SRS7096311,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA648951,SAMN15651932,,,,2024/01/01,2020/07/27
,SRS7096310,SRR12332067,2434664056,SRA1104104,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX8832125,SRP273743,Sorghum bicolor,SRS7096310,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA648951,SAMN15651933,,,,2024/01/01,2020/07/27
,SRS7096309,SRR12332066,2461582525,SRA1104104,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX8832124,SRP273743,Sorghum bicolor,SRS7096309,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA648951,SAMN15651934,,,,2024/01/01,2020/07/27
,SRS7096308,SRR12332065,2763785128,SRA1104104,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX8832123,SRP273743,Sorghum bicolor,SRS7096308,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA648951,SAMN15651935,,,,2024/01/01,2020/07/27
,SRS7096307,SRR12332064,2350291416,SRA1104104,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX8832122,SRP273743,Sorghum bicolor,SRS7096307,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA648951,SAMN15651936,,,,2024/01/01,2020/07/27
,SRS7096305,SRR12332063,2060279025,SRA1104104,GEO,"Gene Expression Omnibus (GEO), NCBI, NLM, NIH, htt",SRX8832121,SRP273743,Sorghum bicolor,SRS7096305,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA648951,SAMN15651937,,,,2024/01/01,2020/07/27
samples were proceed with the TruSeq RNA Sample Prep Kits (Illumina) for librarypreparation.,SRS6890422,SRR12072405,9516127363,SRA1090021,"University ofAgricultural SCiences,Dharwad",SANDEEP RAJANIKANT KADAM,SRX8599967,SRP268382,Sorghum bicolor,SRS6890422,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,PRJNA641225,SAMN15347127,,,,2020/07/31,2020/06/23
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593516,SRR10376271,1880986822,SRA987592,Colorado State University,Fahad Ullah,SRX7077704,SRP227627,Sorghum bicolor,SRS5593516,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164663,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593515,SRR10376272,2358536465,SRA987592,Colorado State University,Fahad Ullah,SRX7077703,SRP227627,Sorghum bicolor,SRS5593515,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164662,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593514,SRR10376273,2433135160,SRA987592,Colorado State University,Fahad Ullah,SRX7077702,SRP227627,Sorghum bicolor,SRS5593514,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164661,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593513,SRR10376274,2116215744,SRA987592,Colorado State University,Fahad Ullah,SRX7077701,SRP227627,Sorghum bicolor,SRS5593513,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164660,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593512,SRR10376275,2289435328,SRA987592,Colorado State University,Fahad Ullah,SRX7077700,SRP227627,Sorghum bicolor,SRS5593512,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164659,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593511,SRR10376276,2204892209,SRA987592,Colorado State University,Fahad Ullah,SRX7077699,SRP227627,Sorghum bicolor,SRS5593511,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164641,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593510,SRR10376277,2074662537,SRA987592,Colorado State University,Fahad Ullah,SRX7077698,SRP227627,Sorghum bicolor,SRS5593510,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164658,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593509,SRR10376278,2175611169,SRA987592,Colorado State University,Fahad Ullah,SRX7077697,SRP227627,Sorghum bicolor,SRS5593509,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164657,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593508,SRR10376279,2409208906,SRA987592,Colorado State University,Fahad Ullah,SRX7077696,SRP227627,Sorghum bicolor,SRS5593508,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164656,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593507,SRR10376280,2125366096,SRA987592,Colorado State University,Fahad Ullah,SRX7077695,SRP227627,Sorghum bicolor,SRS5593507,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164655,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593506,SRR10376281,5424741331,SRA987592,Colorado State University,Fahad Ullah,SRX7077694,SRP227627,Sorghum bicolor,SRS5593506,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164654,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593505,SRR10376282,7254656816,SRA987592,Colorado State University,Fahad Ullah,SRX7077693,SRP227627,Sorghum bicolor,SRS5593505,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164653,,,,2020/06/01,2019/10/31
"Total RNA was extracted using miRNeasy Mini Kit (Qiagen, USA#217004) and treated with DNase I using in column DNase I digestion as described in the users manual. The integrity of RNA was checked using Bioanalyzer (Agilent Technologies) and RNA samples with RNA integrity number (RIN) ~ 9.0 or more were used for further analyses. Poly (A) mRNA enrichment and construction of stranded mRNA-seq libraries were performed using KAPA Stranded mRNA-seq kit (Cat# KR0960) (Illumina). Briefly, poly (A) mRNA was captured using magnetic oligo (dT) beads and fragmented using heat and magnesium. First-strand cDNA was synthesized using random primer and the second strand was synthesized in the presence of dUTP. Adenosine was added to the 3-end followed by adaptor ligation. The library was amplified using high fidelity, low-bias PCR. Single-end sequencing of the libraries was done at the Sequencing & Analysis Core Resource, Duke University using Illumina Hi seq 2000.",SRS5593504,SRR10376283,7969491861,SRA987592,Colorado State University,Fahad Ullah,SRX7077692,SRP227627,Sorghum bicolor,SRS5593504,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA585370,SAMN13164652,,,,2020/06/01,2019/10/31
